artista,oyentes,reproducciones,biografia,artistas_similares
Дeva,13469,218748,,"['beton.hofi', 'Carson Coma', 'Elefánt', 'Analog Balaton', 'Platon Karataev']"
Emilia,381599,11662600,"Emilia Mernes (29 de Octubre de 1996, Nogoyá, Entre Ríos, Argentina) es una cantante de pop urbano argentina. Perteneció al dúo cumbia/pop Rombai entre 2016 y 2018. Actualmente solista bajo el nombre de “Emilia”. <a href=""https://www.last.fm/music/Emilia"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Maria Becerra', 'Tini', 'Lali', 'Nicki Nicole', 'KAROL G']"
Lany,781108,31052711,"LANY es una banda de indie pop estadounidense originaria de Los Ángeles, formada en 2014. La banda está compuesta por Paul Jason Klein, Charles Leslie ""Les"" Priest y Jake Clifford Goss.

LANY se formó en marzo de 2014 cuando Paul Jason Klein, quien recién comenzaba su carrera en solitario viajó a Nashville para encontrarse con sus amigos Jake Goss y Les Priest. Anteriormente, Goss y Priest tenían un proyecto separado con el nombre de WRLDS, pero esto se suspendió después de la formación de LANY. El mes siguiente subieron ""Hot Lights"" y ""Walk Away"" a SoundCloud de manera incógnita para diferenciar entre sus proyectos antiguos y nuevos. Su EP debut, Acronymns, fue editado ese mismo año, con la canción ""ILYSB"" generando un gran interés en internet. Los sencillos ""Made in Hollywood"" y ""Bad, Bad, Bad"" fueron lanzados a continuación.

2018 – presente: Malibu Nights

El 5 de abril de 2018, LANY tuvo su primer concierto a gran escala en el Smart Araneta Coliseum de Filipinas. Los boletos para el espectáculo se agotaron en solo 24 horas  y se agregó una segunda noche de presentación. 

LANY anunció su segundo álbum, Malibu Nights, el 8 de marzo de 2018 a través de una publicación en Instagram. Klein declaró que el álbum fue compuesto del 4 de enero al 14 de febrero de 2018. El primer sencillo, ""Thru These Tears"", se lanzó el 17 de julio. Su segundo sencillo, ""I Don't Wanna Love You Anymore"", fue lanzado el 22 de agosto de 2018. Klein también anunció en Instagram que la fecha de lanzamiento de su segundo disco estaba escrita en sus zapatos cuando se presentaron en el show de James Corden, insinuando que ""Malibu Nights"" se lanzaría el 5 de octubre de 2018.

Nombre

LANY es un acrónimo de ""Los Angeles New York"". <a href=""https://www.last.fm/music/Lany"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Lauv', 'Joan', 'Nightly', 'Fly By Midnight', 'The Ivy']"
YOVNGCHIMI,58406,1882792,,"['Hades66', 'Eladio Carrion', 'Ele A El Dominio', 'Jon Z', 'Miky Woodz']"
Yeonjun,133000,5270660,,"['TOMORROW X TOGETHER', 'TOMORROW X TOGETHER, Jonas Brothers', 'Meovv', 'BOYNEXTDOOR', 'KATSEYE']"
Ariana Grande,3703094,791822873,"Ariana Grande Butera (Boca Ratón, 26 de junio de 1993) es una actriz, cantante y compositora estadounidense. Debutó como actriz en 2008 con el papel de Charlotte en el musical 13 de Broadway.
Desde 2010 al presente, Grande interpreta a Cat Valentine en las series de Nickelodeon, Victorious y Sam & Cat, el primero lo co-protagonizó y el segundo es una serie derivada que lo protagoniza junto a Jennette McCurdy. En marzo de 2013, Grande alcanzó éxito comercial por su sencillo The Way de su álbum debut al convertirse Top-10 hit en los Billboard Hot 100 y al ser certificado doble platino por la RIAA. Su álbum debut Yours Truly recibió elogiós de los critícos y debutó en el número #1 en Billboard 200, lo que la convirtió en la décimo quinta artista femenina en la historia de la música en lograrlo.






 <a href=""https://www.last.fm/music/Ariana+Grande"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Jessie J, Ariana Grande & Nicki Minaj', 'Sabrina Carpenter', 'SZA', 'Madison Beer', 'Doja Cat']"
navai,12650,141378,,"['HammAli & Navai', 'Idris & Leos', 'Macan', 'elMAN', 'HammAli']"
Karan Aujla,65194,3637048,,"['Diljit Dosanjh', 'Sidhu Moose Wala', 'AP Dhillon', 'Garry Sandhu', 'Amrinder Gill']"
Danny Vera,51235,1005434,,"['Douwe Bob', 'Anouk', 'Ilse DeLange', 'The Scene', 'Meau']"
Sting,2374600,51572530,"Gordon Matthew Sumner, (nacido el 2 de octubre de 1951), más conocido por su nombre artístico Sting, es un músico inglés anteriormente bajista, cantante y líder del grupo musical The Police.

Sting nació el 2 de Octubre de 1951 en Wallsend (Newcastle, Inglaterra). Hijo de un lechero, fue educado en la religión católica. Desde temprana edad supo que quería ser músico. Asistió a la Universidad de Warwick en Coventry, aunque no llegó a titularse. Desde 1971 y hasta 1974, asistió a una escuela universitaria de magisterio. Tiene un hermano, Phil, y dos hermanas, Anita y Angela. Su primera novia se llamó Stephanie.

Antes de dedicarse profesionalmente a la música, Sting trabajó cavando zanjas y como profesor de inglés. En sus comienzos solía dar conciertos en el primer lugar donde se lo ofrecieran. Tocó con bandas de jazz locales como Phoenix Jazzmen y Last Exit. Su nombre artístico Sting (que en castellano significa aguijón) proviene de la época en que estuvo con el primero de estos grupos. Una vez tocó vistiendo una camiseta a rayas negras y amarillas y su compañero Gordon Solomon le dijo que parecía una abeja, tras lo cual todos empezaron a llamarle Sting, nombre que usa desde entonces de forma casi exclusiva, excepto para documentos oficiales.

The Police

En 1977, Sting, Stewart Copeland y Andy Summers formaron la famosa banda de pop/rock The Police en Londres. Previamente había abandonado el grupo Henri Padovani, a causa de un conflicto durante el festival de Mont de Marsans con Andy Summers. Así el cuarteto inicial quedó configurado como el terceto que sería conocido después. El grupo tuvo varios álbumes en las listas de éxitos y ganaron seis Premios Grammy a principios de los años 80. Su último álbum, Synchronicity, fue publicado en 1983. El grupo intentó volver a unirse en 1986, cuando volvieron a grabar una nueva versión de su tema ""Don't Stand So Close to Me"", pero finalmente siguieron separados. El año 2007, el grupo volvio a juntarse y en Mayo comenzaron una gira por Europa y Norteamerica, han sido exito de ventas e incluso tocaron en el megafestival mundial Live Earth, junto a Roger Waters, Smashing Pumpkins, Bon Jovi, entre otros.

Sting se ha aventurado de vez en cuando a actuar en el cine. Su debut cinematográfico tuvo lugar en 1979 con Quadrophenia. Aparte de su demoniaco personaje en Brimstone and Treacle (1982), uno de sus papeles más famosos fue el de Feyd-Rautha, en la adaptación cinematográfica de Dune de 1984. Más recientemente apareció in Lock, Stock and Two Smoking Barrels, de Guy Ritchie. También ha tenido apariciones en televisión (incluyendo participaciones como artista invitado en Los Simpsons y Ally McBeal) y en el teatro. La mayor parte de sus apariciones posteriores en créditos de cine o televisión han tenido que ver con su música.

Carrera en solitario

Para el primer álbum que grabó en solitario en 1985, The Dream of the Blue Turtles, Sting reunió a un grupo de músicos reconocidos como estrellas del jazz. El álbum incluía el single de éxito ""If You Love Somebody Set Them Free"". En el plazo de un año se convirtió en triple platino. También cantó en la introducción y el estribillo de la canción de Dire Straits ""Money for Nothing"". En 1987 Sting publicó Nothing Like the Sun, que incluía los éxitos ""We'll Be Together"" y ""Be Still My Beating Heart"", dedicado a su madre, recientemente fallecida, y que pronto se convirtió en doble disco de platino, siendo reconocido como uno de los álbumes más importantes de rock & roll de los años 80. Poco después, en febrero de 1988, grabó Nada como el sol, una selección de cinco temas sacados del álbum Nothing Like the Sun que el propio Sting cantaba en castellano y en portugués.

A finales de los 80, Sting comenzó a dar su apoyo a diferentes movimientos medioambientales y humanitarios, incluyendo Amnistía Internacional. Junto a su novia de muchos años Trudie Styler y un líder indio Kayapó de Brasil, fundó la ""Rainforest Foundation"" con el objetivo de ayudar a salvar los bosques. Su apoyo a estas causas sigue vigente en la actualidad.

Su álbum de 1991, The Soul Cages, dedicado a la memoria de su padre recientemente fallecido, incluía el éxito ""All this time"" y el tema ganador de un Premio Grammy, ""Soul Cages"". El album llegó a ser disco de platino. Al año siguiente Sting se casó con Trudie Styler y fue nombrado doctor honoris causa por el departemento de música de la Universidad de Northumbria. En 1993 publicó el álbum Ten Summoner's Tales, que fue triple platino en poco más de un año. En mayo realizó una remezcla de la canción de The Police ""Demolition Man"" para la película homónima.

Sting alcanzó la cumbre de su éxito en 1994. Junto con Bryan Adams y Rod Stewart grabó el exitoso tema ""All for Love"", de la película de Los Tres Mosqueteros. La canción se mantuvo cinco semanas en el número uno de la lista de éxitos americana, consiguiendo ser platino. Hasta la fecha, es la única canción de Sting de la época posterior a The Police que ha alcanzado el número uno en las listas americanas. En febrero obtuvo de nuevo dos Premios Grammy y estuvo nominado para tres más. La Facultad de Música de Berklee le nombró doctor honoris causa en mayo. Finalmente, en noviembre, publicó una colección de grandes éxitos bajo el nombre de Fields of Gold: The Best of Sting, que alcanzó el doble platino.

El álbum de 1996, Mercury Falling, debutó con fuerza, pero cayó rápidamente en las listas de éxitos. Sin embargo, el mismo año Sting entró en la lista de los cuarenta principales con dos temas ""You Still Touch Me"" (junio) y ""I'm So Happy I Can't Stop Crying"" (diciembre). En 1997 Sting participó también en en la versión que hizo Toby Keith de ""I'm So Happy I Can't Stop Crying"" para su álbum Dream Walking. En 1998 apareció en la película Lock, Stock and Two Smoking Barrels.

Sting reapareció con el álbum de septiembre de 1999, Brand New Day, que incluía dos temas que se incluyeron en las listas de éxitos: ""Brand New Day"" y ""Desert Rose"". Para enero de 2001, el álbum había alcanzado un triple platino. En 2000 Sting ganó dos Premios Grammy por este álbum y por la canción que le daba título, ""Brand New Day"". En la ceremonia de entrega de los premios Sting cantó ""Desert Rose"" con Cheb Mami. Por esta actuación le fue concedido el Premio Kahlil Gibran al Espíritu de Humanidad, otorgado por la Fundación del Instituto Árabe-americano.

Sting inauguró 2001 con una actuación durante el espectáculo celebrado en el descanso de la famosa Super Bowl americana. En febrero añadió otro Grammy a su colección y su canción ""After the Rain Has Fallen"" se abrió camino en los cuarenta principales. El 11 de septiembre, el mismo día de los terribles ataques terroristas de Al Qaeda, grabó un nuevo álbum en directo en su casa de la Toscana (Italia). El video de esta actuación, aparecido en noviembre sin demasiado éxito de ventas, muestra el tristísimo estado de ánimo en el que Sting y su banda se vieron obligados a actuar. En ese contexto, con los músicos y el público compungidos por la cruel matanza de los atentados, el tema ""Fragile"" sonó, más que nunca, como un emotivo himno por la paz a la luz de la luna toscana. Este álbum y su video, bajo el título de All This Time, incluía versiones jazzísticas de algunas de las canciones favoritas de Sting, como ""Roxanne"" y ""If You Love Somebody Set Them Free"".

2002 fue un año de premios para Sting. Ganó un Globo de Oro y fue nominado para su segundo Premio de la Academia por su canción ""Until..."" de la película Kate & Leopold. En junio ingresó en el Hall de la Fama de los Compositores, una especie de museo virtual de los mejores compositores de la Academia Nacional de Música Popular. Más tarde el mismo año, se anunció que su anterior grupo, The Police, ingresaría en el Hall de la Fama del Rock and Roll en marzo de 2003. En el verano, Sting fue nombrado Comandante de la Orden del Imperio Británico. Sin embargo, paradójicamente, una encuesta llevada a cabo por Channel Four uno de los principales canales de TV británicos, lo situó en el puesto número 81 en la lista de ""Los 100 peores británicos del año 2003"".

También en 2003 salió al mercado un nuevo álbum original grabado en estudio, Sacred Love, con toques raciales y experimentos, colaborando con la artista de hip-hop Mary J. Blige y la maestra del sitar Anoushka Shankar (hija de Ravi Shankar). En 2004 el cantante y compositor se embarcó en un tour, Sacred Life, con actuaciones de Annie Lennox.

También actor. El cine fue otro de los territorios que invadió el compositor, bajista y cantante considerado símbolo indiscutido de los 80. Participó en Quadrophenia, la ópera rock de The Who; Radio on; Brimstone and teacle; Duna; La prometida; Plenty; Lunes tormentoso; The adventures of Baron Munchausem, con Robin Williams en 1988; hasta llegar a Los caballeros no comen poetas de la mano de su mujer, la actriz y productora Trudie Styler (que mucho tiempo atrás había participado del video de su canción ""We´ll be together""). Sting, el más exitoso del trío Police, atesora cada vez más millones: el último paso del compositor fue la venta de todas sus obras, pasadas y futuras, a la compañía EMI por 30 millones de dólares. Uno de los contratos más abultados de la historia de la música, luego del de Elton John. Los dos premios Grammys que el artista inglés se adjudicó a comienzos del 2000 (Mejor Cantante Masculino Pop y Mejor Disco Pop) sirvieron para confirmar que su esperado regreso repitió la tendencia: todo lo que Sting toca se convierte en oro. Sting ha logrado lo que pocos consiguieron: multiplicar como solista el éxito que lo había llevado a la fama como miembro de un grupo. Con 54 años y próximo a cumplir 55 ya ha vendido cerca de 70 millones de álbumes.

Vida Personal

Sting se casó con la actriz Frances Tomelty en 1976. La pareja tuvo dos hijos antes de su divorcio en 1982. Poco después comenzó a vivir con la actriz (y más tarde productora de cine) Trudie Styler, pero no se casaron hasta 1992. Sting y Trudie han tenido cuatro hijos. Su hijo Joseph, de su primera esposa, está siguiendo los pasos de su padre con la música. Aunque se ha informado que Sting posee varias propiedades en el Reino Unido y en los Estados Unidos, actualmente tiene su hogar en Toscana (Italia).

No está claro si Sting hablaba en serio cuando se refería a sí mismo como ""maníaco-depresivo"". Su canción ""Lithium Sunset"", parece referirse al carbonato de litio, que se utiliza en el tratamiento de este desorden mental. Según algunas informaciones, hizo esto porque quería ayudar a las personas que realmente sufren esta enfermedad.

A principios de 2005 Sting proclamó su interés por el Hinduismo y declaró que quería pasar mucho más tiempo en la India por cuya cultura se siente fascinado. En una entrevista declaró: ""En este momento lo que más me gusta es la religión hindú (...) Me he convertido en un adicto a la India (...) Querría pasar el resto de mi vida descubriendo (ese) precioso país.""

Para acceder a la entrevista completa, pulse este enlace: http://entertainment.iafrica.com/music/news/408631.htm

Discografía

(Albums publicados en solitario, después de la desaparición de The police.)

    * 1985 The Dream of Blue Turtles #3 UK, #2 US, US Sales: 3,000,000
    * 1986 Bring On the Night #16 UK
    * 1987 Nothing Like the Sun #1 UK, #9 US, US Sales: 2,000,000
    * 1988 Nada Como el Sol
    * 1991 Soul Cages #1 UK, #2 US, US Sales: 1,000,000
    * 1993 Ten Summoner's Tales #2 UK, #2 US, US Sales: 3,000,000
    * 1994 Fields of Gold: The Best of Sting 1984-1994 #2 UK, #7 US, US Sales: 2,000,000
    * 1996 Mercury Falling #4 UK, #5 US, US Sales: 1,000,000
    * 1997 The Very Best of Sting & The Police #1 UK, #46 US (both positions for the 2002 re-issue)
    * 1999 Brand New Day #5 UK, #9 US, US Sales: 3,000,000
    * 1999 At the Movies (Japanese release)
    * 2000 Dolphins
    * 2001 All This Time (live) #3 UK, #32 US, US Sales: 500,000
    * 2003 Sacred Love #3 UK, #3 US, US Sales: 500,000
    * 2006 Songs From The Labyrinth #?? UK, #?? US Sales: ??
    * 2003 Rise And Fall (feat Craig David

Singles de éxito

(Nota: los números precedidos del signo # hacen referencia al puesto alcanzado por cada single en las listas de éxitos británica (UK) y americana (US)).

De la banda sonora de Brimstone and Treacle

    * 1982 ""Spread a Little Happiness"" #16 UK

Del álbum The Dream of Blue Turtles

    * 1985 ""If You Love Somebody Set Them Free"" #26 UK, #3 US
    * 1985 ""Russians"" #12 UK, #16 US
    * 1985 ""Fortress Around Your Heart"" #8 US
    * 1985 ""Love Is the Seventh Wave"" #17 US

Del álbum Nothing Like the Sun

    * 1987 ""We'll Be Together"" #7 US
    * 1988 ""Be Still My Beating Heart"" #15 US
    * 1990 ""Englishman In New York"" (remix) #15 UK
    * 1990 ""Fragile"" #7 US

Del álbum The Soul Cages

    * 1991 ""All This Time"" #22 UK, #5 US

Del álbum Ten Summoner's Tales

    * 1992 ""It's Probably Me"" (with Eric Clapton) #30 UK
    * 1993 ""If I Ever Lose My Faith in You"" #14 UK, #17 US
    * 1993 ""Seven Days"" #25 UK
    * 1993 ""Fields of Gold"" #16 UK, #23 US

Single sin álbum

    * 1993 ""Demolition Man"" #21 UK

De la banda sonora de The Three Musketeers (Los tres Mosqueteros)

    * 1994 ""All for Love"" (con Bryan Adams and Rod Stewart) #2 UK, #1 US

De Ten Summoner's Tales

    * 1994 ""Nothing 'Bout Me"" #32 UK

De Fields of Gold: The Best of Sting 1984-1994

    * 1994 ""When We Dance"" #9 UK, #38 US
    * 1995 ""This Cowboy Song"" (feat. Pato Banton) #15 UK

De la banda sonora de Ace Ventura: When Nature Calls

    * 1996 ""Spirits in the Material World"" (Pato Banton feat. Sting) #36 UK

From Mercury Falling

    * 1996 ""Let Your Soul Be Your Pilot"" #15 UK
    * 1996 ""You Still Touch Me"" #27 UK
    * 1996 ""I Was Brought to My Senses"" #31 UK

De The Very Best of Sting & The Police

    * 1997 ""Roxanne '97"" (remix) (con The Police) #17 UK

De Brand New Day

    * 1999 ""Brand New Day"" #13 UK
    * 2000 ""Desert Rose"" (feat. Cheb Mami) #15 UK, #17 US
    * 2000 ""After the Rain Has Fallen"" #31 UK

De Slicker Than Your Average (Craig David album)

    * 2003 ""Rise & Fall"" (Craig David feat. Sting) #2 UK

De Sacred Love

    * 2003 ""Send Your Love"" #30 UK
    * 2003 ""Whenever I Say Your Name"" (Sting ft. Mary J. Blige)
    * 2004 ""Stolen Car (Take Me Dancing)""

Autobiografía

Sting publicó su autobiografía (titulada Broken Music) en octubre de 2003, donde relata pasajes particulares de su infancia que se mantienen, según sus propias palabras, intensamente en su memoria, para entender como el niño que fue, se ha convertido en el adulto que hoy es. Abarca el período que va desde su niñez hasta la etapa previa a su éxito con el grupo The Police.

www.sting.com <a href=""https://www.last.fm/music/Sting"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['The Police', 'Phil Collins', 'Peter Gabriel', 'Chris Rea', 'Simply Red']"
Kraftklub,207080,11261056,"Kraftklub es una banda de rock en alemán, originaria de Chemnitz, Alemania. Su música es principalmente una mezcla de Indie Rock y Rap. Está compuesta por cinco miembros, de los cuales cuatro eran pertenecientes a la banda Neon Blocks, a quienes se les unió el rapero Felix Brummer para formar Kraftklub.

Historia

En el Splash Festival de 2009 el rapero 'Bernd Bass' (Felix Brummer) tocó por primera vez con Neon Blocks, y a fines del mismo año fueron juntos al estudio de grabación y fundaron la banda Kraftklub. El 13 de Febrero de 2010, lanzaron su primer EP ""Adonis Maximus"" en una fiesta de lanzamiento en el Club Atomino de Chemnitz. En septiembre ganó el Musikpreis New Music Award otorgado por varias radioestaciones de ARD. Gracias a este, ganaron un poco de atención importante de los grandes sellos discográficos del mercado. Desde finales de enero de 2011, tienen un contrato con Universal Domestic Rock/Vertigo. Kraftklub ha abierto conciertos de los Beatsteaks, Fettes Brot y Casper. El 5 de Agosto de 2011 publicó su primer single ""Zu Jung"" con Universal.
El 29 de Septiembre de 2011, Kraftklub estuvo en el Bundesvision Song Contest 2011 con su canción ""Ich will nicht nach Berlin"", representando al estado de Sajonia, en donde se llevó 89 puntos, llegando al 5º lugar. El sencillo fue lanzado el día siguiente y se introdujo en las estadísticas de control de medios de comunicación, llegando al 45º lugar. Su album debut ""Mit K"", fue lanzado el 20 de Enero de 2012 y sorpresivamente llegó al 1º lugar en las listas de álbumes más vendidos en Alemania. Aunque el siguiente single ""Songs für Liam"" sólo se publicó hasta Abril de 2012 oficialmente, el 23 de Marzo de 2012 llegó al puesto 40º de las listas alemanas, gracias a las fuertes ventas por descargas que tuvo.
Felix Kummer (Vocalista) y Till Kummer (Bajista) son hijos de Jan Kummer, co-fundador del grupo Avant-garde AG, Geige. Debido a que no existe alguna conexión entre los grupos, los hermanos prefieren usar el nombre artístico Brummer.
Su primer concierto fuera de Alemania, fue el 19 de Septiembre de 2012 en Bogotá, Colombia, gracias a la gira ""Kolumbien mit K"" promovida por el Goethe Institut - Kolumbien, que los llevó por Bogotá, Medellín y Cali, cada uno con dos conciertos respectivamente, y uno en Cartagena.


Discografía

Álbumes
2012: Mit K

EP's
2010: Adonis Maximus
2012: Live im Astra Berlin (Beilage zur Visions Nr. 227)

Singles
2011: Zu Jung
2011: Ich will nicht nach Berlin
2011: Eure Mädchen
2012: Songs für Liam
2012: Kein Liebeslied <a href=""https://www.last.fm/music/Kraftklub"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Madsen', 'Von wegen Lisbeth', 'KAFFKIEZ', 'Provinz', 'Alligatoah']"
Shiva,81571,5107423,"Trío inglés procedente de Bristol. Formaron parte de la llamada New Wave of British Heavy Metal, aunque su música también tenía mucho de Rock Sinfónico, con Rush como principal influencia. Editaron sólo un disco oficial, ""Firedance"", en 1982. <a href=""https://www.last.fm/music/Shiva"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Sfera Ebbasta', 'Capo Plaza', 'Lazza', 'Artie 5ive', 'Paky']"
King,250294,2819652,"KING fue una banda de new wave pop británica que comenzó en 1984. El éxito de la banda fue logrado en 1985, y son mejor conocidos por su hit single ""Love & Pride"", que alcanzó el número 2 en el Reino Unido. La banda tuvo dos álbumes  Top 20  y cinco sencillos en el Top 30 en el espacio de un año.

El nombre del grupo proviene del apellido del cantante Paul King.

·Integrantes:

Paul King: voz
Mick Roberts: teclados
Anthony ""Jackal"" Wall: guitarra baja
Jim ""Chacal"" Lantsbery: Guitarra
John Hewitt / Adrian Lillywhite / Colin Heanes: bateria y tambores.


·Álbumes:

Steps in Time (1984) - King - UK Nº. 6
Bitter Sweet (1985) - King - UK Nº. 16
Joy (1987) - Paul King (en solitario)
The Best of King - Love & Pride (1998) - King & Paul King collection <a href=""https://www.last.fm/music/King"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Divine', 'Howard Jones', 'Thompson Twins', 'ABC', 'Kajagoogoo']"
Elsa y elmar,104331,2262603,"Directo desde Colombia con escala en Boston, llega Elsa y Elmar, un proyecto de folk inocente es el proyecto Elsa Carvajal, una chica que encontró en la guitarra y su voz, una bella manera de expresarse. estrenó su primer EP llamado Sentirnos bien.

Sentirnos bien está formado por seis canciones y fue producido por Mateo Lewis,  <a href=""https://www.last.fm/music/Elsa+y+elmar"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Preto no Branco,52558,617936,,"['Thalles Roberto', 'Gabriela Rocha', 'Davi Sacer', 'Gabriela Gomes', 'Fernandinho']"
